"year","month","day","tmax","measurement.flag.4","quality.flag.4","source.flag.4","tmin","measurement.flag.5","quality.flag.5","source.flag.5"
2000,9,22,228,NA,NA,"0",139,NA," ","0"
2000,9,23,239,NA,NA,"0",61,NA," ","0"
2000,9,24,267,NA,NA,"0",67,NA," ","0"
2000,9,25,183,NA,NA,"0",128,NA," ","0"
2000,9,26,161,NA,NA,"0",117,NA," ","0"
2000,9,27,183,NA,NA,"0",106,NA," ","0"
2000,9,28,178,NA,NA,"0",78,NA," ","0"
2000,9,29,167,NA,NA,"0",89,NA," ","0"
2000,9,30,144,NA,NA,"0",83,NA," ","0"
2000,9,31,200,NA,NA,"0",50,NA," ","0"
2000,10,1,194,NA,NA,"0",39,NA," ","0"
2000,10,2,217,NA,NA,"0",67,NA," ","0"
2000,10,3,217,NA,NA,"0",78,NA," ","0"
2000,10,4,233,NA,NA,"0",56,NA," ","0"
2000,10,5,194,NA,NA,"0",94,NA," ","0"
2000,10,6,206,NA,NA,"0",56,NA," ","0"
2000,10,7,206,NA,NA,"0",67,NA," ","0"
2000,10,8,172,NA,NA,"0",44,NA," ","0"
2000,10,9,144,NA,NA,"0",50,NA," ","0"
2000,10,10,128,NA,NA,"0",28,NA," ","0"
2000,10,11,133,NA,NA,"0",0,NA," ","0"
2000,10,12,150,NA,NA,"0",-22,NA," ","0"
2000,10,13,122,NA,NA,"0",-11,NA," ","0"
2000,10,14,122,NA,NA,"0",0,NA," ","0"
2000,10,15,128,NA,NA,"0",-6,NA," ","0"
2000,10,16,133,NA,NA,"0",11,NA," ","0"
2000,10,17,161,NA,NA,"0",-6,NA," ","0"
2000,10,18,167,NA,NA,"0",-22,NA," ","0"
2000,10,19,167,NA,NA,"0",0,NA," ","0"
2000,10,20,156,NA,NA,"0",-6,NA," ","0"
2000,10,21,117,NA,NA,"0",28,NA," ","0"
2000,10,22,122,NA,NA,"0",39,NA," ","0"
2000,10,23,128,NA,NA,"0",44,NA," ","0"
2000,10,24,150,NA,NA,"0",39,NA," ","0"
2000,10,25,150,NA,NA,"0",6,NA," ","0"
2000,10,26,156,NA,NA,"0",28,NA," ","0"
2000,10,27,122,NA,NA,"0",22,NA," ","0"
2000,10,28,94,NA,NA,"0",56,NA," ","0"
2000,10,29,156,NA,NA,"0",39,NA," ","0"
2000,10,30,144,NA,NA,"0",17,NA," ","0"
